UID,presentation_id
tacl.1709,38929484
tacl.1720,38929485
tacl.1727,38929486
tacl.1743,38929487
tacl.1756,38929488
tacl.1759,38929489
tacl.1766,38929490
tacl.1779,38929491
tacl.1780,38929492
tacl.1801,38929493
tacl.1805,38929494
tacl.1811,38929495
tacl.1815,38929496
tacl.1834,38929497
tacl.1843,38929498
tacl.1845,38929499
tacl.1849,38929500
tacl.1852,38929501
tacl.1853,38929502
tacl.1876,38929503
tacl.1882,38929504
tacl.1886,38929505
tacl.1892,38929506
tacl.1901,38929507
tacl.1903,38929508
tacl.1906,38929509
tacl.1912,38929510
tacl.1915,38929511
tacl.1929,38929512
tacl.1967,38929513
tacl.2001,38929514
