UID,title,speakers,presentation_id
69,Evaluating the Utility of Model Configurations and Data Augmentation on Clinical Semantic Textual Similarity,Yuxia Wang,38929642
53,Interactive Extractive Search over Biomedical Corpora,Hillel Taub-Tabib,38929643
23,A Data-driven Approach for Noise Reduction in Distantly Supervised Biomedical Relation Extraction,"Saadullah Amin, Katherine Ann Dunfield, Günter Neumann",38929644
59,Personalized Early Stage Alzheimer’s Disease Detection: A Case Study of President Reagan’s Speeches,Ning Wang,38929645
62,Entity-Enriched Neural Models for Clinical Question Answering,Bhanu Pratap Singh Rawat,38929646
26,"Evidence Inference V2.0: More Data, Better Models",Jay DeYoung,38929647
34,Comparative Analysis of Text Classification Approaches in Electronic Health Records,Aurelie Mascio,38929648
11,Experimental Evaluation and Development of a Silver-Standard for the MIMIC-III Clinical Coding Dataset,Tom Searle,38929649
36,Domain Adaptation and Instance Selection for Disease Syndrome Classification over Veterinary Clinical Notes,Brian Hur,38929650
7,Sequence-to-Set Semantic Tagging for Complex Query Reformulation in Biomedical IR using Self-Attention,Manirupa Das,38929651
40,Noise Pollution in Hospital Readmission Prediction: Classification with RL,Liyan Xu,38931232
